policy_number,policy_state,policy_csl,policy_deductible,policy_annual_premium,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
521585,OH,250/500,1000,1406.91,2015-01-25,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,9935 4th Drive,5,1,Yes,1,2,Yes,71610.0,6510.0,13020.0,52080.0,Saab,92x,2004,Yes
342868,IN,250/500,2000,1197.22,2015-01-21,Vehicle Theft,Unknown,Minor Damage,Police,VA,Riverwood,6608 MLK Hwy,8,1,Unknown,0,0,Unknown,5070.0,780.0,780.0,3510.0,Mercedes,E400,2007,Yes
687698,OH,100/300,2000,1413.14,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7121 Francis Lane,7,3,No,2,3,No,34650.0,7700.0,3850.0,23100.0,Dodge,RAM,2007,No
227811,IL,250/500,2000,1415.74,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,6956 Maple Drive,5,1,Unknown,1,2,No,63400.0,6340.0,6340.0,50720.0,Chevrolet,Tahoe,2014,Yes
367455,IL,500/1000,1000,1583.91,2015-02-17,Vehicle Theft,Unknown,Minor Damage,Unknown,NY,Arlington,3041 3rd Ave,20,1,No,0,1,No,6500.0,1300.0,650.0,4550.0,Acura,RSX,2009,No
104594,OH,250/500,1000,1351.1,2015-01-02,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,8973 Washington St,19,3,No,0,2,No,64100.0,6410.0,6410.0,51280.0,Saab,95,2003,Yes
413978,IN,250/500,1000,1333.35,2015-01-13,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,5846 Weaver Drive,0,3,Unknown,0,0,Unknown,78650.0,21450.0,7150.0,50050.0,Nissan,Pathfinder,2012,No
429027,IL,100/300,1000,1137.03,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,3525 3rd Hwy,23,3,Unknown,2,2,Yes,51590.0,9380.0,9380.0,32830.0,Audi,A5,2015,No
485665,IL,100/300,500,1442.99,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,4872 Rock Ridge,21,1,No,1,1,Yes,27700.0,2770.0,2770.0,22160.0,Toyota,Camry,2012,No
636550,IL,100/300,500,1315.68,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,3066 Francis Ave,14,1,No,2,1,Unknown,42300.0,4700.0,4700.0,32900.0,Saab,92x,1996,No
543610,OH,100/300,500,1253.12,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,1558 1st Ridge,22,1,Yes,2,2,Unknown,87010.0,7910.0,15820.0,63280.0,Ford,F150,2002,No
214618,OH,100/300,2000,1137.16,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,5971 5th Hwy,21,3,Yes,1,2,Yes,114920.0,17680.0,17680.0,79560.0,Audi,A3,2006,No
842643,OH,500/1000,500,1215.36,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,9,1,Yes,1,0,No,56520.0,4710.0,9420.0,42390.0,Saab,95,2000,No
626808,OH,100/300,1000,936.61,2015-01-08,Parked Car,Unknown,Minor Damage,Unknown,SC,Springfield,6582 Elm Lane,5,1,No,1,1,No,7280.0,1120.0,1120.0,5040.0,Toyota,Highlander,2010,No
644081,OH,250/500,2000,1301.13,2015-01-15,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,6851 3rd Drive,12,1,No,0,2,Yes,46200.0,4200.0,8400.0,33600.0,Dodge,Neon,2003,Yes
892874,IN,100/300,2000,1131.4,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,9573 Weaver Ave,12,4,Yes,0,0,No,63120.0,10520.0,10520.0,42080.0,Acura,MDX,1999,Yes
558938,OH,500/1000,1000,1199.44,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0,3,Unknown,1,2,Yes,52110.0,5790.0,5790.0,40530.0,Nissan,Maxima,2012,No
275265,IN,500/1000,500,708.64,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,4546 Tree St,9,1,No,0,2,Yes,77880.0,14160.0,7080.0,56640.0,Subaru,Legacy,2015,No
921202,OH,500/1000,500,1374.22,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,19,1,Yes,1,0,No,72930.0,6630.0,13260.0,53040.0,Acura,TL,2015,No
